month,day,year,event
xx,xx,-9500,"The eight Neolithic founder crops—emmer wheat, einkorn wheat, hulled barley, peas, lentils, bitter vetch, chick peas, and flax—were cultivated in the Levant."
xx,xx,-9500,Beginning of the stone age.
xx,xx,-9202,"Early inhabitants of North America at the site of what is now Clovis, New Mexico, leave spear tips behind."
xx,xx,-9000,The Wisconsin glaciation retreats into Canada.
xx,xx,-8000,The Holocene Epoch within the Quaternary Period within the Cenozoic Era begins.
xx,xx,-8000,Archaic hunter-gathers follow rivers in seasonal migrations in Ohio.
xx,xx,-8000,The potato is domesticated in South America.
xx,xx,-7000,Settlement of the Indus Valley begins. Evidence found at Mehrgahr.
xx,xx,-7000,Settlement of the Nile Valley begins.
xx,xx,-7000,"The northern hemisphere's average temperature peaks at +3 deg C above normal, signalling the beginning of an interglacial period."
xx,xx,-6200,Rice is domesticated in China.
xx,xx,-5500,The Sumer civilization is settled in Iraq.
xx,xx,-5400,"The world's first city, Eridu, is founded, close to the Persian Gulf near the mouth of the Euphrates River. Excavation has shown that the city was founded on a virgin sand-dune site with no previous occupation. "
xx,xx,-4846,"Volcano, Crater Lake, Oregon:  A massive eruption ejects 30-40 km3 of material and forms a caldera lake 590m deep. Wizzard Island is a post caldera cinder cone."
xx,xx,-4296,"Volcano, Kikai-Akahoya, Japan: A massive eruption ejects 30-40 km3 of material."
xx,xx,-3750,Carbon (6) Ancient Eqyptions and Summarians discover carbon in the form of soot and charcoal.
xx,xx,-3300,Beginning of the Bronz Age.
xx,xx,-3300,Texts from the Sumer civilization in Iraq found in Uruk and Jemdet
xx,xx,-3000,"Kingdoms of Upper and Lower Egypt unite. Successive dynasties witness flourishing trade, prosperity and the development of great cultural traditions. Writing, including hieroglyphics, is used as an instrument of state. "
xx,xx,-2900,Sphinx constructed in Egypt.
xx,xx,-2686,Beginning of the Old Kingdom in Eqypt
xx,xx,-2613,King Seferu rules Egypt. He built three pyramids and perfected the art of pyramid building. He is the first king of the fourth dynasty of Egypt.
xx,xx,-2600,The mature phase of the Indus Civilization begins.
xx,xx,-2560,Construction of the Great Pyramid of Ghiza by King Khufu.
xx,xx,-2500,"""The Standard of Ur"" is found in a tomb, depicting life in the Early Dynastic Period in mesopotamia."
xx,xx,-2181,The fall of the Old Kingdom in Egypt and the 1st Intermediate period begins.
xx,xx,-2074,The Middle Kingdom begins; Egypt is united and powerful again.
xx,xx,-1792,"Hammurabi rules Babylon, writes great code of laws."
xx,xx,-1759,"The fall of the Middle Kingdom leads to the 2nd Intermediate period, and the occupation of norhern Egypt by the Hyksos."
xx,xx,-1650,"The eruption of Santorini in Greece in 1,650 B.C. was one of the largest (VEI=6) in the last 10,000 years. About 7 cubic miles (30 cubic km) of rhyodacite magma was erupted. The plinian column during the initial phase of the eruption was about 23 miles (36 km) high. The removal of such a large volume of magma caused the volcano to collapse, producing a caldera. Ash fell over a large area in the eastern Mediterranean and Turkey. The eruption probably caused the end of the Minoan civilization on the island of Crete."
xx,xx,-1539,"The reunification of Egypt and the expulsion of the Hyksos begins the New Kingdom, a period when Egypt became a leading power in the Middle East."
xx,xx,-1500,The Shang Dynasty begins in China.
xx,xx,-1446,"Volcano, Aniakchak, Alaska: A massive eruption ejects 50 km3 of material."
xx,xx,-1336,Tutankhamen reigns.
xx,xx,-1278,The reign of Ramses II brings Egypt to the height of its power.
xx,xx,-1200,Beginning of the Iron Age.
xx,xx,-1184,Troy falls to the Greeks.
xx,xx,-1150,The New Kingdom falls into decline in Eqypt.
xx,xx,-1100,"Reigns of last Shang king, and of King Wen of Zhou in China."
xx,xx,-1043,"Death of Zhou founder, King Wu, leads to civil war; regency of Duke of Zho."
xx,xx,-800,Ohio's Adena Indians develop agriculture and their society begins to fluorish.
xx,xx,-800,Ohio's Hopewell culture fluorishes.
xx,xx,-771,Fall of the Western Zhou capital at Zong-Zhou; flight of infant king to Eastern capital at Cheng-Zhou.
xx,xx,-753,Romulus founds Rome.
xx,xx,-728,Egypt is conquered by Nubian kings.
xx,xx,-669,Assyrians from Mesopotamia conquer and rule Egypt.
xx,xx,-624,"Thales of Miletus is born. He was a pre-Socratic Greek philosopher, mathematician, and astronomer from Miletus in Asia Minor (present-day Milet in Turkey)."
xx,xx,-589,Hanging Gardens of Babylon constructed.
xx,xx,-570,Xenophanes is born. His surviving writings display a skepticism about religion.
xx,xx,-570,Pythagorus is born.
xx,xx,-563,Guatama (Sakyamuni) Buddha born. Taught that painful life is caused by desire.
xx,xx,-551,K'ungfutze (Confucius) born. Taught that you should not do to others what you do not want done to you.
xx,xx,-535,"Heraclitus is born. Heraclitus was famous for his insistence on ever-present change as being the fundamental essence of the universe, as stated in the famous saying, ""No man ever steps in the same river twice"""
xx,xx,-530,"Pythagorus travels to Croton, where he founded a school in which initiates were sworn to secrecy and lived a communal, ascetic lifestyle."
xx,xx,-525,Egypt is conquered by the Persians.
xx,xx,-509,"Start of the Roman Republic after the overthrow of Lucius Tarquinius Superbus, the seventh and last King of Rome."
xx,xx,-490,"Zeno is born. Zeno's paradoxes are a set of philosophical problems generally thought to have been devised by Greek philosopher Zeno of Elea (c. 490–430 BC) to support Parmenides' doctrine that contrary to the evidence of one's senses, the belief in plurality and change is mistaken, and in particular that motion is nothing but an illusion."
xx,xx,-460,Democritus is born. He is famous for formulating the atomic theory of the universe.
xx,xx,-445,"Antisthenes is born. A disciple of Socrates, he founds the Cynic philosophy."
xx,xx,-438,Pantheon constructed in Rome.
xx,xx,-424,Plato is born. He is a student of Socrates.
xx,xx,-399,"Socrates, condemned by Athenian state, drank hemlock. Plato, his disciple, recorded 35 dialogues."
xx,xx,-390,"The Battle of the Allia was fought between the Senones (one of the Gallic tribes which had invaded northern Italy) and the Roman Republic. It was fought at the confluence of the rivers Tiber and Allia, eleven Roman miles (16 km) north of Rome. The Romans were routed and subsequently the Senones sacked Rome."
xx,xx,-384,Aristotle is born. Socretes most famous student.
xx,xx,-360,"Qin reforms:  establishment of centralized bureaucracy,  fixed codes of penal and administrative law in China."
xx,xx,-356,Alexander the Great born.
xx,xx,-332,Egypt is conquered by Alexander the Great.
xx,xx,-322,Aristotle dies.
xx,xx,-307,"Epicurus believed that what he called ""pleasure"" was the greatest good, but that the way to attain such pleasure was to live modestly, to gain knowledge of the workings of the world, and to limit one's desires. "
xx,xx,-305,"Ptolemy, one of Alexander the Great's generals, founds a Greek-speaking dynasty in Eqypt."
xx,xx,-300,Mayan calendar invented in the Yucatan.
xx,xx,-256,Qin extinguishes the Zhou royal house (the end of the Zhou Dynasty) in China
xx,xx,-230,"Qin armies conquer Han, Zhao, Yan, Wei, Chu, and Qi in China."
xx,xx,-221,"Qin state re-unifies China. Feudalism abolished on recommendation of Li Si, who becomes Prime Minister."
xx,xx,-202,Han takes control (official date 206 B.C.): Liu Bang becomes emperor.
xx,xx,-170,Crates of Mallus brought Stoicism to Rome. See Zeno.
xx,xx,-140,"Reign of Emperor Wu (Wu-di). Era of massive state expansion through war, financed by heavy taxation."
xx,xx,-60,"Caesar, Crassus and Pompey formed a political alliance that dominated Roman politics for several years. Their attempts to amass power as Populares were opposed by the Optimates within the Roman Senate, among them Cato the Younger with the frequent support of Cicero."
xx,xx,-55,"Julius Caesar enters Britain. An important Roman General, his ascension will end 500 years of the Roman Republic."
xx,xx,-53,Battle of Carrhae - The Parthian general Surena decisively defeated a numerically superior Roman invasion force under the command of Marcus Licinius Crassus.
xx,xx,-49,"Julius Ceaser crosses the Rubicon River into Italy with an army, which is against the law. He enters Rome and declares himself Dictator for Life."
3,15,-44,Julius Caesar is assassinated by Cassius and Brutus.
xx,xx,-30,"Cleopatra, the last queen of independent Egypt in ancient times, dies, and Egypt is annexed by the Roman Empire."
-xx,xx,-27,"Octavian is granted extrordinary powers by the Senate and becomes Augustus, dictator for life. The Roman Republic is replaced by the Roman Empire."
xx,xx,-4,Birth of Jesus Christ of Nazareth.
10,20,2,Cornerstone-laying ceremony for the administration and seminary wings of the Pontifical College Josephinum. Monsignor Joseph Och presiding.
4,7,30,"Jesus Christ is crucified in reign of emperor Tiberius, Pontius Pilate procurator in Judea."
xx,xx,50,"Volcano, Ambrym, Vanuatu: A massive eruption ejects 19-25 km3 of material."
xx,xx,64,Rome burns under emperor Nero.
6,9,68,Emporer Nero commits suicide after he is declared an enemy of the people.
8,24,79,"Mt. Vesuvius erupts, destroying Pompeii, Hurculaneum and Stabii."
xx,xx,96,"Beginning of the reign of the five good emporers of Rome, a team of peace and prosperity for the Roman Empire."
xx,xx,100,Ohio's Adena Indians vanish. Built conical mounds and effigy mounds but no earth work complexes.
xx,xx,100,"The ""Jeffers"" Indian Mound located on Plesenton Drive is constructed by the Hopewell people."
xx,xx,180,"Death of Marcus Aurelius, onset of decline of Rome."
xx,xx,186,"Volcano, Taupo, New Zealand: A massive eruption ejects 100 km3 of material."
xx,xx,220,Fall of the Han Dynasty -- China enters long era of political division known as the Six Dynasties period.
xx,xx,235,"Beginning of the Crisis of the Third Century, a 50 year period where Rome's internal trade network fell apart and localism open the way for the early middle ages. It begins with the assassination of Emperor Severus Alexander by his own troops."
xx,xx,284,"End of the Crisis of the Third Century. The Roman Empire nearly collapsed under the combined pressures of invasion, civil war, plague, and economic depression. The crisis ended with the ascension and reforms of Diocletian."
xx,xx,301,"The Roman Solidus coin is minted, solid gold and 60 to the Roman pound."
xx,xx,303,Constantine becomes Roman emporer
xx,xx,312,Constantine mints the Roman Solidus in quantity at 72 to the Roman pound.
xx,xx,313,Emperor Constantine makes Christianity legal in the Roman Empire with the Edict of Milan.
5,11,330,Byzantium is refounded as Constantinopolis.
5,22,337,Emporer Constantine dies.
xx,xx,391,Alaric becomes Chief of the Goths.
xx,xx,395,The Roman Empire is divided into Western and Eastern parts after the death of Theodosis I.
xx,xx,400,Ohio's Hopewell Indians vanish. They leave earthworks behind.
8,24,410,"The sack of Rome by the Visigoths. This was the first time in almost 800 years that Rome had fallen to a foreign enemy. The city's citizens were devastated. Many Romans were taken captive, including the Emperor's sister, Galla Placidia. Some citizens would be ransomed, others would be sold into slavery, and still others would be raped and killed. The population of Rome is estimated to be as high as 800,000 at this time."
8,27,410,"After three days of looting and pillage, Alaric quickly left Rome and headed for southern Italy. He took with him the wealth of the city and a valuable hostage, Galla Placidia, the sister of emperor Honorius. The Visigoths ravaged Campania, Lucania, and Calabria. Nola and perhaps Capua were sacked, and the Visigoths threatened to invade Sicily and Africa. However, they were unable to cross the Strait of Messina as the ships they had gathered were wrecked by a storm."
12,xx,410,"Alaric died of illness at Consentia in late 410, mere months after the sack of Rome. According to legend, he was buried with his treasure by slaves in the bed of the Busento river. The slaves were then killed to hide its location."
xx,xx,432,"Bishop Patrick, native of Severn valley, sent as missionary to Ireland."
xx,xx,455,"The third sack of Rome by the Vandals. Before approaching the city, the Vandals knocked down all of the city's aqueducts. At the sight of the approaching Vandals, Maximus and his soldiers tried to flee the city but he was spotted and killed by a Roman mob outside the city, possibly together with his son Palladius. Upon the Vandal arrival, according to the chronicler Prosper of Aquitaine, Pope Leo I requested that Genseric not destroy the ancient city nor murder its inhabitants. Genseric agreed and the gates of Rome were thrown open to him and his men. Genseric looted great amounts of treasure from the city, damaging objects of cultural significance such as the Temple of Jupiter Optimus Maximus by stripping away the gilt bronze roof tiles (hence the modern term vandalism)."
9,4,476,"Fall of the Roman Empire and beginning of the middle ages. Odoacer deposed the Emperor Romulus, the Western Roman Emperor wielded negligible military, political, or financial power and had no effective control over the scattered Western domains that could still be described as Roman. Invading barbarians had established their own power in most of the area of the Western Empire. While its legitimacy lasted for centuries longer and its cultural influence remains today, the Western Empire never had the strength to rise again. Many Roman citizens were sold into slavery."
xx,xx,527,Emporer Justinian rules the Eastern Roman Empire.
xx,xx,531,"Justinian secures the Eastern Border of the Eastern Roman Empire by paying 11,000 pounds of gold to Khosrau I of Persia."
9,14,533,Justinian's troops defeat the Vandals at Ad Decimum in Tunisia.
xx,xx,535,"The extreme weather events of 535–536 were the most severe and protracted short-term episodes of cooling in the Northern Hemisphere in the last 2000 years.[1] The event is thought to have been caused by an extensive atmospheric dust veil, possibly resulting from a large volcanic eruption in the tropics,[2] or debris from space impacting the Earth.[3] Its effects were widespread, causing unseasonal weather, crop failures, and famines worldwide"
xx,xx,535,Tierra Blanca Joven (TBJ) eruption of the Ilopango caldera in central El Salvador ejects an estimated 80 km3 of material.
3,xx,540,"King Khosrau I broke the ""Eternal Peace"" and invaded Roman territory"
5,xx,540,Belisarius took the Ostrogothic capital Ravenna.
12,17,546,"The fourth sack of Rome was carried out by the Gothic king Totila during the Gothic War of 535–554 between the Ostrogoths and the Byzantine Empire. Totila was based at Tivoli and, in pursuit of his quest to reconquer the region of Latium, he moved against Rome. The city endured a siege lasting almost a year before falling to the Goths. Totila determined to turn the city into sheep pasture, but only succeeded in tearing down one third of the defensive walls."
